,Age,EstimatedSalary,Target
40,-1.017692393473028,-1.5487759483812642,0
240,0.415004547127199,2.3273851207058454,1
196,-0.7311530053529826,0.2718451598263175,0
294,-0.25358735848624026,-0.37418168502153404,0
306,1.2746227114873352,1.8869122719459464,0
203,0.3194914177538505,0.036926307154371514,0
170,-1.5907711697131186,0.5361288690822568,0
189,-0.9221792640996795,-1.1083030996213654,0
315,0.12846515900715358,0.1543857334903445,1
284,0.9880833233672897,2.092466268033899,0
114,0.415004547127199,0.3012100164103108,0
143,-0.7311530053529826,0.56549372566625,0
239,1.465648970234032,2.1511959812018855,1
362,0.8925701939939412,-0.5797356811094868,1
272,2.134240875847471,-0.8146545337814328,1
201,1.083596452740638,0.12502087690635127,0
263,-0.25358735848624026,0.06629116373836477,0
45,-1.3997449109664217,-1.4606813786292843,0
299,0.7970570646205928,1.387709710018061,1
326,0.3194914177538505,0.06629116373836477,0
243,1.7521883583540774,1.0059665744261488,1
301,0.9880833233672897,0.12502087690635127,1
4,-1.7817974284598157,0.18375059007433778,0
19,0.9880833233672897,-1.1963976693733451,1
218,0.7970570646205928,0.7710477217542028,0
133,-1.5907711697131186,-0.05116826259760824,0
115,0.22397828838050202,-0.37418168502153404,0
127,-1.1132055228463764,-1.1083030996213654,0
200,-0.25358735848624026,-0.9027491035334125,0
144,-0.34910048785958875,-1.313857095709318,0
98,-0.25358735848624026,0.09565602032235802,0
109,0.03295202963380511,0.3012100164103108,0
131,-0.4446136172329372,-1.1376679562053587,0
290,0.12846515900715358,1.8869122719459464,1
370,2.134240875847471,-0.6971951074454598,1
66,-1.3042317815930733,-1.4900462352132775,0
73,-0.4446136172329372,1.2702502836820881,0
398,-0.15807422911289182,-1.0789382430373722,0
99,-0.9221792640996795,-0.961478816701399,0
262,1.656675228980729,1.6226285626900072,1
357,0.3194914177538505,0.06629116373836477,0
211,1.3701358408606836,2.3567499772898386,1
140,-1.7817974284598157,0.44803429933027705,0
65,-1.3042317815930733,-0.34481682843754075,0
310,0.415004547127199,0.007561450570378263,0
342,0.03295202963380511,-0.139262832349588,0
337,-0.25358735848624026,0.2718451598263175,0
120,-0.15807422911289182,0.1543857334903445,0
46,-1.2087186522197249,0.2718451598263175,0
368,0.03295202963380511,0.036926307154371514,0
97,-0.9221792640996795,1.5638988495220207,1
33,-0.9221792640996795,-0.7559248206134463,0
119,0.3194914177538505,-0.3154519718535475,0
322,0.3194914177538505,-0.5210059679415002,0
250,0.6060308058738959,-0.9027491035334125,0
78,-0.9221792640996795,0.5067640124982635,0
10,-1.1132055228463764,0.3012100164103108,0
369,1.5611620996073805,-1.2844922391253248,1
90,-1.4952580403397702,0.33057487299430405,0
43,-0.7311530053529826,-1.6075056615492507,0
359,0.415004547127199,-0.46227625477351375,0
214,0.8925701939939412,-0.7852896771974396,0
399,1.083596452740638,-0.9908436732853924,1
255,1.3701358408606836,0.5948585822502434,1
23,0.7015439352472443,-1.4019516654612978,1
142,-0.25358735848624026,-0.3154519718535475,0
154,0.22397828838050202,-0.6678302508614665,0
286,-0.06256109973954335,-0.22735740210156777,0
95,-0.25358735848624026,-0.7559248206134463,0
270,0.5105176765005474,1.8575474153619531,0
237,-0.06256109973954335,0.3012100164103108,0
26,1.083596452740638,-1.2257625259573384,1
141,-1.8773105578331641,-0.05116826259760824,0
